TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_original,Location_original,Channel_original,CustomerOccupation_original,cluster_id
14.089999999999975,70.0,81.0,1.0,5112.21,Debit,San Diego,ATM,Doctor,1
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,ATM,Doctor,0
126.28999999999999,19.0,56.0,1.0,1122.35,Debit,Mesa,Online,Student,1
184.5,26.0,25.0,1.0,8569.06,Debit,Raleigh,Online,Student,1
13.449999999999989,26.0,198.0,1.0,7429.4,Credit,Atlanta,Online,Student,0
92.15,18.0,172.0,1.0,781.6800000000003,Debit,Oklahoma City,ATM,Student,0
7.079999999999984,37.0,139.0,1.0,13316.71,Credit,Seattle,ATM,Doctor,0
171.42,67.0,291.0,1.0,2796.24,Credit,Indianapolis,Branch,Retired,0
106.23000000000002,51.0,86.0,1.0,9095.14,Credit,Detroit,Branch,Engineer,1
815.96,55.0,120.0,1.0,1021.8799999999997,Debit,Nashville,ATM,Doctor,1
17.78000000000003,52.0,59.0,1.0,7599.52,Credit,Albuquerque,Online,Engineer,1
190.02000000000004,21.0,173.0,1.0,1528.81,Debit,Memphis,Online,Student,0
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,Branch,Student,1
781.76,26.0,123.0,1.0,189.6899999999996,Debit,Memphis,ATM,Student,1
166.99,18.0,134.0,1.0,299.9300000000003,Debit,Louisville,Online,Student,0
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,ATM,Engineer,0
555.8,19.0,158.0,1.0,1131.2600000000002,Credit,Austin,Branch,Student,0
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,Online,Engineer,0
18.680000000000007,59.0,106.0,1.0,7948.37,Credit,Albuquerque,Branch,Retired,1
71.47999999999999,18.0,169.0,1.0,6568.59,Credit,Columbus,Online,Student,0
59.31999999999999,71.0,38.0,1.0,5750.89,Debit,Los Angeles,Branch,Retired,1
85.76999999999998,38.0,93.0,1.0,9146.19,Debit,Las Vegas,Branch,Doctor,1
52.19999999999999,39.0,120.0,1.0,8974.93,Debit,Atlanta,Online,Engineer,1
345.84,22.0,142.0,3.0,1402.5,Debit,Fort Worth,Online,Student,2
145.54,21.0,96.0,1.0,1930.96,Debit,Raleigh,Online,Student,1
7.490000000000009,65.0,276.0,1.0,3634.67,Credit,Houston,Online,Retired,0
246.93,23.0,158.0,5.0,673.3500000000004,Debit,Miami,ATM,Student,2
40.31999999999999,37.0,95.0,1.0,2686.52,Debit,Milwaukee,Branch,Engineer,1
127.44999999999999,44.0,197.0,1.0,1772.06,Debit,Las Vegas,Online,Doctor,0
56.170000000000016,27.0,283.0,1.0,1351.69,Debit,Detroit,Branch,Student,0
28.310000000000002,59.0,20.0,1.0,8334.47,Credit,Miami,Online,Doctor,1
59.120000000000005,29.0,257.0,1.0,9823.64,Debit,Baltimore,ATM,Doctor,0
396.45,49.0,168.0,3.0,9690.15,Debit,New York,ATM,Engineer,2
877.81,22.0,150.0,1.0,399.0,Debit,Los Angeles,Online,Student,0
255.26,45.0,50.0,1.0,14815.87,Credit,San Francisco,Branch,Doctor,1
124.75999999999999,49.0,45.0,1.0,5764.72,Debit,Seattle,Branch,Engineer,1
78.13,26.0,145.0,1.0,900.6099999999997,Debit,Milwaukee,Branch,Student,0
649.28,75.0,137.0,1.0,4875.86,Debit,San Jose,ATM,Retired,0
795.31,66.0,90.0,2.0,7914.88,Debit,Mesa,ATM,Doctor,1
335.63,55.0,216.0,1.0,1019.3899999999999,Debit,Oklahoma City,Online,Retired,0
328.47,63.0,119.0,1.0,4323.66,Debit,San Antonio,ATM,Retired,1
34.01999999999998,38.0,19.0,1.0,14214.48,Debit,Philadelphia,Online,Doctor,1
241.42,57.0,116.0,1.0,13357.02,Credit,Charlotte,Online,Doctor,1
55.31999999999999,19.0,117.0,1.0,241.78999999999996,Debit,Tucson,ATM,Student,1
304.31,27.0,33.0,1.0,868.6099999999997,Debit,Louisville,Branch,Student,1
435.27,74.0,90.0,1.0,4673.28,Debit,Chicago,Branch,Retired,1
164.49,26.0,75.0,1.0,1509.27,Debit,Baltimore,Branch,Student,1
510.24,19.0,105.0,1.0,781.6999999999998,Debit,Oklahoma City,Online,Student,1
626.9,26.0,138.0,1.0,265.5100000000002,Debit,Denver,Online,Student,0
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,Credit,Sacramento,Online,Engineer,0
425.34,69.0,121.0,1.0,3907.54,Credit,Kansas City,Online,Retired,1
424.56,51.0,264.0,1.0,5183.85,Debit,Omaha,Online,Engineer,0
85.43,67.0,145.0,1.0,14904.9,Debit,Virginia Beach,Branch,Doctor,0
169.5,28.0,142.0,1.0,918.8800000000001,Debit,San Diego,Branch,Student,0
104.63,62.0,90.0,1.0,4477.78,Debit,Omaha,ATM,Retired,1
316.95,25.0,83.0,1.0,1324.0299999999997,Debit,Mesa,Branch,Student,1
60.53999999999999,57.0,52.0,1.0,3534.93,Credit,Columbus,Branch,Retired,1
292.56,68.0,61.0,1.0,4638.37,Credit,Dallas,Branch,Retired,1
386.52,48.0,28.0,1.0,5630.61,Debit,Indianapolis,Branch,Engineer,1
112.07,23.0,51.0,1.0,930.3000000000002,Debit,Kansas City,Branch,Student,1
568.52,46.0,152.0,1.0,5499.91,Debit,Indianapolis,ATM,Engineer,0
263.99,79.0,227.0,2.0,4175.02,Debit,Dallas,Branch,Retired,0
349.64,48.0,226.0,1.0,6651.62,Debit,Las Vegas,Online,Engineer,0
601.4,56.0,104.0,1.0,8458.29,Credit,Philadelphia,Branch,Engineer,1
5.769999999999982,50.0,124.0,1.0,13988.12,Debit,Charlotte,Online,Doctor,1
201.33,42.0,186.0,1.0,2585.07,Credit,Nashville,Branch,Engineer,0
298.42,56.0,225.0,1.0,3014.75,Debit,Indianapolis,Branch,Retired,0
521.06,25.0,128.0,1.0,1951.42,Debit,Albuquerque,Branch,Student,1
117.28,60.0,16.0,1.0,3665.77,Credit,Austin,Online,Engineer,1
189.12,32.0,103.0,1.0,977.0100000000002,Credit,Indianapolis,Branch,Engineer,1
133.55,44.0,220.0,1.0,3846.28,Debit,Atlanta,ATM,Engineer,0
143.21,35.0,135.0,1.0,6374.82,Debit,Dallas,Online,Engineer,0
24.769999999999982,62.0,55.0,1.0,5866.01,Debit,Boston,ATM,Retired,1
233.92,26.0,280.0,1.0,6537.62,Credit,Jacksonville,Online,Student,0
1212.51,20.0,24.0,1.0,605.9499999999998,Debit,Indianapolis,Branch,Student,1
232.12,37.0,51.0,1.0,6689.87,Debit,Omaha,ATM,Engineer,1
162.63,22.0,113.0,1.0,634.1700000000001,Debit,Kansas City,Online,Student,1
91.53,44.0,69.0,1.0,14676.05,Debit,Milwaukee,Branch,Doctor,1
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,Debit,Miami,Branch,Student,1
